month_year,County,vendor_name,Sale (Dollars)
2012-02,Butler,diageoamericas,2790.6800000000007
2012-02,Calhoun,diageoamericas,4721.17
2012-02,Carroll,diageoamericas,22575.709999999985
2012-02,Cass,diageoamericas,16922.71999999999
2012-02,Cedar,diageoamericas,4722.03
2012-02,Cerro Gordo,diageoamericas,63883.31000000001
2012-02,Cherokee,diageoamericas,11780.059999999987
2012-02,Chickasaw,diageoamericas,3251.240000000001
2012-02,Clarke,diageoamericas,7446.519999999999
2012-02,Clay,diageoamericas,17797.189999999988
2012-02,Clayton,diageoamericas,6495.859999999996
2012-02,Clinton,diageoamericas,46402.589999999975
2012-02,Crawford,diageoamericas,25143.19999999999
2012-02,Dallas,diageoamericas,82374.43000000005
2012-02,Davis,diageoamericas,1403.4
2012-02,Decatur,diageoamericas,2538.2000000000003
2012-02,Delaware,diageoamericas,11444.059999999998
2012-02,Des Moines,diageoamericas,42627.98
2012-02,Dickinson,diageoamericas,36190.61
2012-02,Dubuque,diageoamericas,117601.86000000019
2012-02,Emmet,diageoamericas,6830.069999999999
2012-02,Fayette,diageoamericas,11051.659999999993
2012-02,Floyd,diageoamericas,12826.369999999992
2012-02,Franklin,diageoamericas,7285.229999999993
2012-02,Fremont,diageoamericas,215.51999999999998
2012-02,Greene,diageoamericas,3612.32
2012-02,Grundy,diageoamericas,4619.5700000000015
2012-02,Guthrie,diageoamericas,3562.6300000000006
2012-02,Hamilton,diageoamericas,7671.039999999993
2012-02,Hancock,diageoamericas,2994.2800000000007
2012-02,Hardin,diageoamericas,21460.959999999985
2012-02,Harrison,diageoamericas,9747.859999999991
2012-02,Henry,diageoamericas,13662.889999999994
2012-02,Howard,diageoamericas,24335.99
2012-02,Humboldt,diageoamericas,5293.63
2012-02,Ida,diageoamericas,8642.529999999999
2012-02,Iowa,diageoamericas,24927.129999999976
2012-02,Jackson,diageoamericas,14967.14999999998
2012-02,Jasper,diageoamericas,27951.729999999985
2012-02,Jefferson,diageoamericas,12150.15
2012-02,Johnson,diageoamericas,215120.68000000095
2012-02,Jones,diageoamericas,12212.939999999986
2012-02,Keokuk,diageoamericas,1808.8200000000006
2012-02,Kossuth,diageoamericas,21252.829999999998
2012-02,Lee,diageoamericas,63077.900000000016
2012-02,Linn,diageoamericas,343016.60000000155
2012-02,Louisa,diageoamericas,4786.16
2012-02,Lucas,diageoamericas,3577.9200000000005
2012-02,Lyon,diageoamericas,15573.389999999985
2012-02,Madison,diageoamericas,3640.1800000000007
2012-02,Mahaska,diageoamericas,20791.489999999983
2012-02,Marion,diageoamericas,26225.490000000016
2012-02,Marshall,diageoamericas,51464.250000000015
2012-02,Mills,diageoamericas,7407.360000000001
2012-02,Mitchell,diageoamericas,6272.759999999996
2012-02,Monona,diageoamericas,9028.399999999996
2012-02,Monroe,diageoamericas,4590.200000000001
2012-02,Montgomery,diageoamericas,7155.899999999999
2012-02,Muscatine,diageoamericas,42047.76999999999
2012-02,O'Brien,diageoamericas,20689.259999999984
2012-02,Osceola,diageoamericas,4049.59
2012-02,Page,diageoamericas,13322.839999999991
2012-02,Palo Alto,diageoamericas,9959.749999999996
2012-02,Plymouth,diageoamericas,24032.01999999998
2012-02,Pocahontas,diageoamericas,5815.25
2012-02,Polk,diageoamericas,790325.6099999993
2012-02,Pottawattamie,diageoamericas,139438.3800000005
2012-02,Poweshiek,diageoamericas,19224.93999999997
2012-02,Ringgold,diageoamericas,822.93
2012-02,Sac,diageoamericas,9143.809999999994
2012-02,Scott,diageoamericas,277701.33000000136
2012-02,Shelby,diageoamericas,10977.22
2012-02,Sioux,diageoamericas,19622.389999999978
2012-02,Story,diageoamericas,117344.05000000016
2012-02,Tama,diageoamericas,6919.170000000002
2012-02,Taylor,diageoamericas,997.9800000000001
2012-02,Union,diageoamericas,13021.689999999993
2012-02,Unknown,diageoamericas,3249.7400000000002
2012-02,Van Buren,diageoamericas,2765.2600000000007
2012-02,Wapello,diageoamericas,67177.17000000009
2012-02,Warren,diageoamericas,26217.320000000014
2012-02,Washington,diageoamericas,25837.699999999983
2012-02,Wayne,diageoamericas,3399.7000000000003
2012-02,Webster,diageoamericas,43202.42000000005
2012-02,Winnebago,diageoamericas,9004.859999999997
2012-02,Winneshiek,diageoamericas,17636.159999999985
2012-02,Woodbury,diageoamericas,123627.16000000006
2012-02,Worth,diageoamericas,2463.72
2012-02,Wright,diageoamericas,7917.449999999995
2012-03,Adair,diageoamericas,3342.7400000000007
2012-03,Adams,diageoamericas,1417.59
2012-03,Allamakee,diageoamericas,11977.799999999992
2012-03,Appanoose,diageoamericas,4710.090000000002
2012-03,Audubon,diageoamericas,1986.6300000000003
2012-03,Benton,diageoamericas,11728.949999999983
2012-03,Black Hawk,diageoamericas,248323.96000000113
2012-03,Boone,diageoamericas,16484.699999999983
2012-03,Bremer,diageoamericas,20305.919999999984
2012-03,Buchanan,diageoamericas,18526.359999999975
2012-03,Buena Vista,diageoamericas,19799.08999999998
2012-03,Butler,diageoamericas,2793.08
2012-03,Calhoun,diageoamericas,5779.18
2012-03,Carroll,diageoamericas,28124.33000000001
2012-03,Cass,diageoamericas,16762.099999999973
2012-03,Cedar,diageoamericas,6769.519999999992
2012-03,Cerro Gordo,diageoamericas,63438.93000000007
2012-03,Cherokee,diageoamericas,8681.409999999994
2012-03,Chickasaw,diageoamericas,5060.66
2012-03,Clarke,diageoamericas,7014.869999999997
2012-03,Clay,diageoamericas,15196.869999999984
2012-03,Clayton,diageoamericas,8047.0899999999965
2012-03,Clinton,diageoamericas,50858.850000000006
2012-03,Crawford,diageoamericas,19262.289999999983
2012-03,Dallas,diageoamericas,70767.56000000003
2012-03,Davis,diageoamericas,1374.42
2012-03,Decatur,diageoamericas,2029.47
2012-03,Delaware,diageoamericas,12530.959999999997
2012-03,Des Moines,diageoamericas,46923.39999999999
2012-03,Dickinson,diageoamericas,34057.35999999997
2012-03,Dubuque,diageoamericas,119133.48000000011
2012-03,Emmet,diageoamericas,7411.889999999997
2012-03,Fayette,diageoamericas,13649.739999999993
2012-03,Floyd,diageoamericas,9546.789999999995
2012-03,Franklin,diageoamericas,5784.379999999999
2012-03,Fremont,diageoamericas,586.56
2012-03,Greene,diageoamericas,6888.999999999997
2012-03,Grundy,diageoamericas,7207.33
2012-03,Guthrie,diageoamericas,3703.420000000001
2012-03,Hamilton,diageoamericas,10631.159999999983
2012-03,Hancock,diageoamericas,2711.5600000000004
2012-03,Hardin,diageoamericas,22611.63999999999
2012-03,Harrison,diageoamericas,6303.35
2012-03,Henry,diageoamericas,12008.469999999994
2012-03,Howard,diageoamericas,5911.57
2012-03,Humboldt,diageoamericas,5367.660000000001
2012-03,Ida,diageoamericas,9073.489999999996
2012-03,Iowa,diageoamericas,23119.299999999985
2012-03,Jackson,diageoamericas,16838.689999999973
2012-03,Jasper,diageoamericas,31543.909999999993
2012-03,Jefferson,diageoamericas,5643.6399999999985
2012-03,Johnson,diageoamericas,197993.69000000082
2012-03,Jones,diageoamericas,12948.219999999988
2012-03,Keokuk,diageoamericas,1582.96
2012-03,Kossuth,diageoamericas,19745.459999999985
2012-03,Lee,diageoamericas,59271.12000000006
2012-03,Linn,diageoamericas,359554.57000000274
2012-03,Louisa,diageoamericas,2625.0699999999997
2012-03,Lucas,diageoamericas,3332.150000000001
2012-03,Lyon,diageoamericas,12476.999999999993
2012-03,Madison,diageoamericas,4125.25
2012-03,Mahaska,diageoamericas,13782.879999999981
